Name,Question_count,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10,Q_11
Arundhati Bhattacharya,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Service in Industry over 40yrs?,Finance?,Work in Financial Services?,Work in Bank?,
Mary Schapiro,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Tech?,Work in Financial Services?,Service in Industry over 40yrs?,Female?,
Sheila Bair,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Finance?,Female?,On Forbes?,Service in Industry over 30yrs?,
Lael Brainard,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Finance?,Female?,On Forbes?,Service in Industry over 30yrs?,
Carmen Reinhart,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Service in Industry over 40yrs?,Married?,Graduate level Education?,Finance?,
Mervyn King,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Age Over 80?,Humanities?,Doctor level Education?,Australian?,
Ksenia Yudaeva,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,Other Political Party?,Tech?,Finance?,British?,
Kristalina Georgieva,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Service in Industry over 40yrs?,Finance?,Work in Financial Services?,Married?,
Shriti Vadera,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Service in Industry over 40yrs?,Married?,British?,Finance?,
Laura Tyson,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Fine Arts?,Arts and humanities?,Finance?,Work in Gov?,
Stephanie Kelton,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Gov?,Age over 60?,Work in Research Institutes?,Finance?,
Dong Mingzhu,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Service in Industry over 40yrs?,Married?,British?,CEO?,
Anne Finucane,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Gov?,Female?,Service in Industry over 30yrs?,Age over 60?,Age Over 70?,
Raghuram Rajan,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Tech?,Age over 60?,Age Over 70?,Married?,
Warren Buffett,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,Win Nobel?,Doctor level Education?,Investor?,Age Over 80?,
Ben Bernanke,11,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Finance?,Female?,Age Over 70?,Work in Education?,Win Nobel?
Paul Krugman,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Finance?,Female?,Age Over 70?,Work in Education?,
Larry Summers,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Finance?,Female?,Age Over 70?,Service in Industry over 40yrs?,
Ray Dalio,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,Win Nobel?,Doctor level Education?,Investor?,Age Over 80?,
George Soros,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,British?,Designer?,Win Nobel?,Dead?,Finance?,
Jamie Dimon,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Tech?,Work in Financial Services?,Service in Industry over 40yrs?,On Forbes?,
Bill Ackman,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Tech?,Political Party?,Work in Financial Services?,Service in Industry over 30yrs?,Female?,
Carl Icahn,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,Win Nobel?,Doctor level Education?,Economist?,Investor?,
Michael Bloomberg,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,Win Nobel?,Doctor level Education?,Investor?,Tech?,
Lloyd Blankfein,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Tech?,Work in Financial Services?,Service in Industry over 40yrs?,On Forbes?,
Mark Carney,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Tech?,Age over 60?,Economist?,Work in Gov?,
Timothy Geithner,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Age over 60?,Political Party?,Tech?,Work in Financial Services?,Service in Industry over 40yrs?,Female?,
Alan Greenspan,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,Win Nobel?,Doctor level Education?,Economist?,Work in Education?,
Robert Shiller,9,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,Win Nobel?,Age Over 80?,Service in Industry over 50yrs?,,
Eugene Fama,8,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,Win Nobel?,Age Over 80?,,,
Richard Thaler,9,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,Win Nobel?,Age Over 80?,Service in Industry over 50yrs?,,
Joseph Stiglitz,8,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,Win Nobel?,Age Over 80?,,,
Milton Friedman,8,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Arts and humanities?,Medicine?,,,
John Maynard Keynes,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Medicine?,College level Education?,Low Education?,Economist?,
Friedrich Hayek,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Doctor level Education?,Service in Industry over 50yrs?,Age Over 80?,Physician?,Work in Education?,
Adam Smith,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Birth before 1800?,Married?,Self study?,Female?,Finance?,
Thomas Piketty,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Tech?,Age over 60?,Economist?,Work in Gov?,
Nassim Nicholas Taleb,10,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Tech?,Age over 60?,Age Over 70?,Married?,
Robert Merton,9,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,Win Nobel?,Age Over 80?,Service in Industry over 50yrs?,,
Myron Scholes,11,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,British?,Designer?,Win Nobel?,Medicine?,Economist?,Indian?
Lars Peter Hansen,11,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Finance?,Female?,Age Over 70?,Work in Education?,Win Nobel?
Angus Deaton,9,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Humanities?,Fine Arts?,British?,,
Jean Tirole,9,Born after 1950?,American?,Female?,Humanities?,Industry?,CEO?,Tech?,Age over 60?,Age Over 70?,,
Michael Spence,8,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,Win Nobel?,Age Over 80?,,,
Paul Romer,10,Born after 1950?,American?,Arts and humanities?,Graduate level Education?,Doctor level Education?,Married?,Finance?,Female?,Age Over 70?,Service in Industry over 40yrs?,
Robert Solow,8,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,Win Nobel?,Age Over 80?,,,
Kenneth Arrow,8,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Arts and humanities?,Medicine?,,,
Gary Becker,8,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Arts and humanities?,Medicine?,,,
Amartya Sen,11,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,British?,Designer?,Win Nobel?,Medicine?,Economist?,Indian?
Vernon Smith,8,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,Win Nobel?,Age Over 80?,,,
Daniel Kahneman,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,British?,Designer?,Win Nobel?,Medicine?,Economist?,
Oliver Hart,9,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Humanities?,Fine Arts?,British?,,
Bengt Holmström,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Dead?,Humanities?,Fine Arts?,British?,Service in Industry over 40yrs?,
Robert Barro,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Arts and humanities?,Win Nobel?,Doctor level Education?,Economist?,Work in Education?,
Edward Prescott,8,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Arts and humanities?,Medicine?,,,
Robert Lucas Jr.,8,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Arts and humanities?,Medicine?,,,
Frida Kahlo,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Dead?,Gov?,British?,Age over 50?,
Georgia O'Keeffe,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Dead?,Service in Industry over 50yrs?,Graduate level Education?,Born between 1900-1950?,
Yayoi Kusama,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Female?,Married?,Dead?,British?,
Marina Abramović,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Female?,Married?,Dead?,Age Over 80?,
Cindy Sherman,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Age over 50?,Female?,Service in Industry over 30yrs?,Humanities?,Artist?,
Tracey Emin,9,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,British?,Work around Contemporary Art?,,
Kara Walker,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Age over 50?,Female?,Service in Industry over 30yrs?,Humanities?,Literature?,
Louise Bourgeois,9,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Female?,Married?,Dead?,,
Joan Mitchell,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Married?,Age over 60?,Arts and humanities?,Age Over 70?,
Agnes Martin,9,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Female?,Married?,Dead?,,
Judy Chicago,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Dead?,Graduate level Education?,Artist?,Work around Contemporary Art?,
Barbara Kruger,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Fine Arts?,Married?,Won Grammy?,Singer?,
Shirin Neshat,11,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,British?,Service in Industry over 40yrs?,Age over 60?,Married?
Yoko Ono,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Female?,Married?,Dead?,Age Over 80?,
Jenny Holzer,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Fine Arts?,Married?,Service in Industry over 50yrs?,Artist?,
Bridget Riley,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Female?,Married?,Dead?,British?,
Pipilotti Rist,11,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,British?,Service in Industry over 40yrs?,Age over 60?,Married?
Sophie Calle,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,British?,Service in Industry over 40yrs?,Graduate level Education?,
Niki de Saint Phalle,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Age Over 80?,Humanities?,Doctor level Education?,Dead?,
Kiki Smith,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Service in Industry over 30yrs?,Female?,Actress?,Won Grammy more than 5?,
Louise Nevelson,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Dead?,Service in Industry over 50yrs?,Graduate level Education?,Married?,
Marlene Dumas,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,British?,Service in Industry over 40yrs?,Graduate level Education?,
Sarah Lucas,11,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,British?,Work around Contemporary Art?,Married?,College level Education?
Cornelia Parker,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,British?,Work around Contemporary Art?,Married?,
Faith Ringgold,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Dead?,Graduate level Education?,Artist?,Work around Contemporary Art?,
Mickalene Thomas,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Age over 50?,Won Grammy more than once?,Work around Realism?,
Lorna Simpson,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Age over 50?,Female?,Service in Industry over 30yrs?,Humanities?,Artist?,
Lynda Benglis,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Dead?,Graduate level Education?,Artist?,Married?,
Jenny Saville,9,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,College level Education?,Graduate level Education?,British?,,
Wangechi Mutu,11,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,College level Education?,Graduate level Education?,British?,Australian?,Married?
Zanele Muholi,11,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,College level Education?,Graduate level Education?,British?,Australian?,Married?
Yinka Shonibare,11,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,British?,Work around Contemporary Art?,Married?,College level Education?
Kehinde Wiley,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Age over 50?,Singer?,Female?,
Amy Sherald,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Age over 50?,Won Grammy more than once?,Work around Realism?,
Cecily Brown,9,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,College level Education?,Graduate level Education?,British?,,
Mariko Mori,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,British?,Service in Industry over 40yrs?,Age over 60?,
Yvonne Rainer,9,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Dead?,Graduate level Education?,Married?,,
Carolee Schneemann,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Dead?,Service in Industry over 50yrs?,Graduate level Education?,Born between 1900-1950?,
Laurie Simmons,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Fine Arts?,Married?,Service in Industry over 50yrs?,Artist?,
Mary Cassatt,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Dead?,Service in Industry over 50yrs?,Married?,Born between 1900-1950?,
Rosa Bonheur,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Married?,French?,Composer?,Work around Traditional Art?,
Judith Leyster,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 50?,Female?,Born between 1800-1900?,Write Classic and Realism?,
Angelica Kauffman,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Female?,Service in Industry over 50yrs?,Write Poetry and Philosophical?,
Elaine Sturtevant,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Dead?,Service in Industry over 50yrs?,Married?,Born between 1900-1950?,
Betye Saar,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Dead?,Graduate level Education?,Artist?,Work around Contemporary Art?,
Leonardo da Vinci,11,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Female?,College level Education?,Composer?,Married?
Vincent van Gogh,11,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 50?,Write Classic and Realism?,Write Fantasy and Fiction?,Birth before 1800?,Work around Traditional Art?
Pablo Picasso,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Painter?,College level Education?,Work around Contemporary Art?,French?,
Michelangelo Buonarroti,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Painter?,Write Poetry and Philosophical?,Low Education?,Write Classic and Realism?,
Salvador Dalí,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Female?,Dead?,Work around Traditional Art?,Age Over 70?,
Andy Warhol,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Age Over 70?,Born between 1900-1950?,Married?,Age over 60?,
Claude Monet,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Painter?,College level Education?,Work around Traditional Art?,French?,
Jackson Pollock,9,Born after 1950?,American?,Service in Industry over 30yrs?,Born between 1900-1950?,Female?,Age Over 80?,Political Party?,Age over 60?,Work around Abstract Art?,,
Henri Matisse,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Painter?,College level Education?,Work around Contemporary Art?,French?,
Wassily Kandinsky,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Painter?,College level Education?,Work around Traditional Art?,Work around Realism?,
Gustav Klimt,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Composer?,Write Classic and Realism?,Work around Contemporary Art?,
Rembrandt van Rijn,11,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Female?,College level Education?,Composer?,Married?
Edgar Degas,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Painter?,College level Education?,Work around Contemporary Art?,Work around Abstract Art?,
Paul Cézanne,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Female?,College level Education?,Work around Traditional Art?,
Edward Hopper,9,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Arts and humanities?,Low Education?,Graduate level Education?,,
Marc Chagall,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Painter?,College level Education?,Work around Contemporary Art?,French?,
Jean-Michel Basquiat,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Married?,Fine Arts?,Won Grammy more than 5?,Age over 50?,Singer?,Female?,
Roy Lichtenstein,11,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Dead?,Age Over 80?,Age Over 70?,Fine Arts?,Low Education?,Poet?,Write Classic and Realism?
René Magritte,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Female?,College level Education?,Work around Traditional Art?,
Piet Mondrian,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Painter?,College level Education?,Work around Contemporary Art?,Work around Abstract Art?,
Diego Rivera,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Painter?,College level Education?,Work around Traditional Art?,Work around Realism?,
Keith Haring,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Sports?,Music?,Fashion?,Star in Comedy movie?,Female?,
David Hockney,9,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Female?,Dead?,Married?,,
Anish Kapoor,11,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Married?,Work around Contemporary Art?,Write Modern and Thrillers?,Work around Abstract Art?
Damien Hirst,11,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Married?,Play Pop music?,Service in Industry over 40yrs?,Age over 60?
Jeff Koons,10,Born after 1950?,American?,Arts and humanities?,College level Education?,Age over 50?,Age over 60?,Service in Industry over 30yrs?,Female?,Big Four Fashion Show?,Art?,
Ai Weiwei,11,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Married?,Work around Contemporary Art?,Age over 60?,Chinese?
Richard Prince,9,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Married?,College level Education?,Service in Industry over 30yrs?,,
Olafur Eliasson,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Service in Gov over 20yrs?,Graduate level Education?,Australian?,
Georg Baselitz,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Female?,Dead?,Married?,Work around Abstract Art?,
Sigmar Polke,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Female?,Dead?,Work around Traditional Art?,Age Over 70?,
Erwin Wurm,11,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Married?,Work around Contemporary Art?,Age over 60?,Chinese?
Takashi Murakami,11,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Married?,Play Pop music?,Service in Industry over 40yrs?,Age over 60?
Qi Baishi,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Painter?,College level Education?,Work around Traditional Art?,French?,
Wu Guanzhong,9,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Female?,Dead?,Work around Traditional Art?,,
Zeng Fanzhi,10,Born after 1950?,American?,Female?,Humanities?,Industry?,Age over 50?,Service in Industry over 30yrs?,Married?,Work around Contemporary Art?,Age over 60?,
Park Seo-bo,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Female?,Dead?,Married?,Work around Abstract Art?,
Jane Austen,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 50?,Write Classic and Realism?,Married?,Born between 1800-1900?,
Gertrude Stein,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Married?,Age Over 70?,Graduate level Education?,Composer?,
Mary Shelley,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 50?,Female?,Born between 1800-1900?,Write Classic and Realism?,
Virginia Woolf,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 50?,Female?,Born between 1800-1900?,Age over 60?,
Agatha Christie,9,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Married?,Age Over 80?,Write Modern and Thrillers?,,
Harper Lee,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Dead?,Service in Industry over 50yrs?,Graduate level Education?,Married?,
Toni Morrison,11,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Dead?,Service in Industry over 50yrs?,Married?,Write Fantasy and Fiction?,Born between 1900-1950?
Margaret Atwood,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Win Nobel?,Age Over 80?,Play Rock music?,Female?,
Alice Walker,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Fine Arts?,Married?,Service in Industry over 50yrs?,Novelist?,
J. K. Rowling,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Arts and humanities?,College level Education?,British?,Literature?,Write Modern and Thrillers?,
Zadie Smith,10,Born after 1950?,American?,Female?,Age over 50?,Married?,Low Education?,Humanities?,Tech?,Other Political Party?,Write Modern and Thrillers?,
Alice Munro,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Win Nobel?,Female?,Low Education?,Dead?,
Doris Lessing,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Win Nobel?,Female?,Low Education?,Dead?,
Wisława Szymborska,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Win Nobel?,Female?,Low Education?,Poet?,
Nadine Gordimer,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Fine Arts?,Art?,Win Nobel?,Female?,Low Education?,Poet?,
Nelly Sachs,9,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Married?,French?,Age Over 80?,,
Gabriela Mistral,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Female?,Service in Industry over 50yrs?,Write Poetry and Philosophical?,
Pearl S. Buck,11,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Dead?,Service in Industry over 50yrs?,Married?,Write Fantasy and Fiction?,Born between 1900-1950?
Grazia Deledda,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Female?,Service in Industry over 50yrs?,Italian?,
Selma Lagerlöf,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Married?,French?,Age Over 80?,Write Modern and Thrillers?,
Sigrid Undset,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Fine Arts?,Service in Industry over 30yrs?,Age over 60?,Female?,Service in Industry over 50yrs?,Italian?,
Herta Müller,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,Low Education?,Age over 60?,Write Modern and Thrillers?,
Olga Tokarczuk,10,Born after 1950?,American?,Female?,Age over 50?,Service in Industry over 30yrs?,Fine Arts?,Art?,Low Education?,Write Modern and Thrillers?,Married?,
Louise Glück,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Fine Arts?,Dead?,Graduate level Education?,Artist?,Married?,
Bing Xin,10,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Married?,Age Over 80?,Write Modern and Thrillers?,Write Poetry and Philosophical?,
Lin Huiyin,10,Born after 1950?,American?,Born between 1900-1950?,Service in Industry over 50yrs?,Female?,Service in Industry over 40yrs?,Dead?,Gov?,British?,Age over 50?,
Li Qingzhao,9,Born after 1950?,American?,Born between 1900-1950?,Age Over 70?,Arts and humanities?,Female?,Married?,Age Over 80?,Write Poetry and Philosophical?,,
Emily Dickinson,10,Born after 1950?,American?,Service in Industry over 30yrs?,Female?,Age Over 80?,Dead?,Married?,Age over 60?,Arts and humanities?,Write Poetry and Philosophical?,
